Unnamed: 0,OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstStrasse,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,geometry,UIDENTSTLA,LICHT,STRZUSTAND,Date,fatal,serious_injury,minor_injury,Bicycles,Latitude,Longitude,index_right
654990,96221.0,5,5,15,0,2019,1,20,5,3,4,2,2.0,,1,1,0,0,0.0,0,407031.446276,5757918.8033,7.646820702,51.964178413,POINT (7.646820702 51.964178413),,,1.0,2019-01-01 20:00:00,0,0,1,1,51.964178413,7.646820702,0
655063,96294.0,5,5,15,0,2019,1,19,4,3,3,6,2.0,,1,0,0,0,0.0,0,405160.114401,5756934.44367,7.619863259,51.95501449,POINT (7.619863259 51.95501449),,,0.0,2019-01-01 19:00:00,0,0,1,1,51.95501449,7.619863259,0
655344,96575.0,5,5,15,0,2019,1,0,1,2,5,3,2.0,,1,1,0,0,0.0,0,406305.766869,5756678.90133,7.636599663,51.952911756,POINT (7.636599663 51.952911756),,,1.0,2019-01-01 00:00:00,0,1,0,1,51.952911756,7.636599663,0
655405,96636.0,5,5,15,0,2019,1,13,6,3,5,2,0.0,,1,1,0,0,0.0,0,400561.829,5756756.569,7.553021717,51.952612525,POINT (7.553021717 51.952612525),,,1.0,2019-01-01 13:00:00,0,0,1,1,51.952612525,7.553021717,0
655509,96740.0,5,5,15,0,2019,1,1,5,3,0,1,2.0,,1,0,0,0,0.0,0,406307.062636,5757679.48812,7.63634563,51.961905724,POINT (7.63634563 51.961905724),,,0.0,2019-01-01 01:00:00,0,0,1,1,51.961905724,7.63634563,0
655591,96822.0,5,5,15,0,2019,1,20,4,3,3,6,2.0,,1,0,0,0,0.0,0,406077.491537,5756742.15987,7.633261623,51.953441849,POINT (7.633261623 51.953441849),,,0.0,2019-01-01 20:00:00,0,0,1,1,51.953441849,7.633261623,0
655594,96825.0,5,5,15,0,2019,1,13,4,2,0,1,0.0,,1,0,0,0,0.0,0,401821.228849,5760893.5023,7.570158515,51.990019868,POINT (7.570158515 51.990019868),,,0.0,2019-01-01 13:00:00,0,1,0,1,51.990019868,7.570158515,0
655663,96894.0,5,5,15,0,2019,1,7,2,3,0,1,1.0,,1,0,0,0,0.0,0,401204.2576,5764140.95535,7.560239769,52.019098938,POINT (7.560239769 52.019098938),,,1.0,2019-01-01 07:00:00,0,0,1,1,52.019098938,7.560239769,0
656055,97286.0,5,5,15,0,2019,1,23,4,3,1,5,2.0,,1,1,0,0,0.0,0,407021.797585,5757850.16301,7.646698889,51.963559825,POINT (7.646698889 51.963559825),,,1.0,2019-01-01 23:00:00,0,0,1,1,51.963559825,7.646698889,0
656056,97287.0,5,5,15,0,2019,1,16,4,3,5,6,0.0,,1,1,0,0,0.0,0,405578.328,5756998.951,7.625929598,51.955665476,POINT (7.625929598 51.955665476),,,0.0,2019-01-01 16:00:00,0,0,1,1,51.955665476,7.625929598,0
656058,97289.0,5,5,15,0,2019,1,7,4,3,5,3,1.0,,1,1,0,0,0.0,0,405194.32375,5750115.78088,7.622239004,51.893730982,POINT (7.622239004 51.893730982),,,0.0,2019-01-01 07:00:00,0,0,1,1,51.893730982,7.622239004,0
656387,97618.0,5,5,15,0,2019,1,11,7,3,5,3,0.0,,1,1,0,0,0.0,0,403491.46022,5755466.97101,7.596000364,51.941537275,POINT (7.596000364 51.941537275),,,0.0,2019-01-01 11:00:00,0,0,1,1,51.941537275,7.596000364,0
656464,97695.0,5,5,15,0,2019,1,16,6,3,5,2,0.0,,1,1,0,0,0.0,0,403022.61,5754056.402,7.589579454,51.928777091,POINT (7.589579454 51.928777091),,,0.0,2019-01-01 16:00:00,0,0,1,1,51.928777091,7.589579454,0
656705,97936.0,5,5,70,40,2019,1,13,4,2,0,7,0.0,,1,0,0,0,0.0,0,412782.808611,5747142.71606,7.733239518,51.868245518,POINT (7.733239518 51.868245518),,,1.0,2019-01-01 13:00:00,0,1,0,1,51.868245518,7.733239518,0
656856,98087.0,5,5,15,0,2019,1,8,3,3,5,2,0.0,,1,1,0,0,0.0,0,407834.427808,5759154.67853,7.658173013,51.975420829,POINT (7.658173013 51.975420829),,,0.0,2019-01-01 08:00:00,0,0,1,1,51.975420829,7.658173013,0
656859,98090.0,5,5,15,0,2019,1,7,3,3,5,3,0.0,,1,0,0,0,0.0,0,406205.131602,5757441.82587,7.634927428,51.959752318,POINT (7.634927428 51.959752318),,,0.0,2019-01-01 07:00:00,0,0,1,1,51.959752318,7.634927428,0
656868,98099.0,5,5,15,0,2019,1,14,3,3,3,2,0.0,,1,1,0,0,0.0,0,402611.471181,5753834.66058,7.583664651,51.926712227,POINT (7.583664651 51.926712227),,,0.0,2019-01-01 14:00:00,0,0,1,1,51.926712227,7.583664651,0
656888,98119.0,5,5,15,0,2019,1,13,6,3,5,2,0.0,,1,1,0,0,0.0,0,407672.833684,5756833.51956,7.656445164,51.954530181,POINT (7.656445164 51.954530181),,,0.0,2019-01-01 13:00:00,0,0,1,1,51.954530181,7.656445164,0
657057,98288.0,5,5,15,0,2019,1,12,3,3,5,2,0.0,,1,1,0,0,0.0,0,403051.202346,5758116.42426,7.588850119,51.965274821,POINT (7.588850119 51.965274821),,,1.0,2019-01-01 12:00:00,0,0,1,1,51.965274821,7.588850119,0
657058,98289.0,5,5,15,0,2019,1,7,3,2,0,7,2.0,,1,0,0,0,0.0,0,408030.875419,5758303.19277,7.66126036,51.967799758,POINT (7.66126036 51.967799758),,,2.0,2019-01-01 07:00:00,0,1,0,1,51.967799758,7.66126036,0
657059,98290.0,5,5,15,0,2019,1,5,3,3,0,7,2.0,,1,0,0,0,0.0,0,408696.398148,5756397.86662,7.671451583,51.950783258,POINT (7.671451583 51.950783258),,,2.0,2019-01-01 05:00:00,0,0,1,1,51.950783258,7.671451583,0
657060,98291.0,5,5,15,0,2019,1,1,3,3,0,1,2.0,,1,0,0,0,0.0,0,403161.41,5759052.005,7.59018983,51.973703293,POINT (7.59018983 51.973703293),,,1.0,2019-01-01 01:00:00,0,0,1,1,51.973703293,7.59018983,0
657151,98382.0,5,5,15,0,2019,1,17,5,3,2,3,2.0,,1,1,0,0,0.0,0,403049.831267,5758116.67862,7.588830097,51.965276868,POINT (7.588830097 51.965276868),,,1.0,2019-01-01 17:00:00,0,0,1,1,51.965276868,7.588830097,0
657217,98448.0,5,5,15,0,2019,1,18,2,3,5,3,2.0,,1,1,0,0,0.0,0,404902.631,5762243.723,7.614645972,52.00269225,POINT (7.614645972 52.00269225),,,1.0,2019-01-01 18:00:00,0,0,1,1,52.00269225,7.614645972,0
657221,98452.0,5,5,15,0,2019,1,15,2,3,5,2,0.0,,1,1,0,0,0.0,0,403770.629,5754711.13,7.600271859,51.934791853,POINT (7.600271859 51.934791853),,,1.0,2019-01-01 15:00:00,0,0,1,1,51.934791853,7.600271859,0
657360,98591.0,5,5,15,0,2019,1,21,4,2,3,6,2.0,,1,0,0,0,0.0,0,406937.496121,5757773.58711,7.645492999,51.962857417,POINT (7.645492999 51.962857417),,,2.0,2019-01-01 21:00:00,0,1,0,1,51.962857417,7.645492999,0
657361,98592.0,5,5,15,0,2019,1,16,4,3,5,3,0.0,,1,0,0,0,1.0,0,407044.952796,5757868.43693,7.647030866,51.963727953,POINT (7.647030866 51.963727953),,,1.0,2019-01-01 16:00:00,0,0,1,1,51.963727953,7.647030866,0
657576,98807.0,5,5,15,0,2019,2,17,7,3,1,5,1.0,,1,1,0,0,0.0,0,405578.877404,5756821.54366,7.625986342,51.954070954,POINT (7.625986342 51.954070954),,,1.0,2019-02-01 17:00:00,0,0,1,1,51.954070954,7.625986342,0
657695,98926.0,5,5,15,0,2019,2,15,3,3,5,2,0.0,,1,1,0,0,0.0,0,405455.253,5759121.154,7.62355481,51.974719809,POINT (7.62355481 51.974719809),,,0.0,2019-02-01 15:00:00,0,0,1,1,51.974719809,7.62355481,0
657696,98927.0,5,5,15,0,2019,2,13,3,3,1,6,0.0,,1,0,0,0,0.0,0,406155.558018,5757435.09715,7.634208004,51.959683473,POINT (7.634208004 51.959683473),,,0.0,2019-02-01 13:00:00,0,0,1,1,51.959683473,7.634208004,0
657880,99111.0,5,5,15,0,2019,2,14,7,3,5,2,0.0,,1,1,0,0,0.0,0,405782.720849,5755731.99449,7.629250413,51.944312157,POINT (7.629250413 51.944312157),,,0.0,2019-02-01 14:00:00,0,0,1,1,51.944312157,7.629250413,0
657881,99112.0,5,5,15,0,2019,2,17,7,3,0,3,0.0,,1,1,0,0,0.0,0,405782.736909,5755732.01338,7.629250641,51.944312329,POINT (7.629250641 51.944312329),,,0.0,2019-02-01 17:00:00,0,0,1,1,51.944312329,7.629250641,0
658028,99259.0,5,5,15,0,2019,2,9,6,3,5,3,0.0,,1,1,0,0,0.0,0,406537.972947,5750575.38295,7.641634993,51.898089104,POINT (7.641634993 51.898089104),,,0.0,2019-02-01 09:00:00,0,0,1,1,51.898089104,7.641634993,0
658029,99260.0,5,5,15,0,2019,2,8,6,3,1,5,0.0,,1,1,0,0,0.0,0,405081.291942,5759105.25222,7.618116543,51.97451313,POINT (7.618116543 51.97451313),,,1.0,2019-02-01 08:00:00,0,0,1,1,51.97451313,7.618116543,0
658209,99440.0,5,5,15,0,2019,2,6,5,3,5,3,2.0,,1,1,0,0,0.0,0,404326.302019,5756264.11436,7.607919859,51.948846493,POINT (7.607919859 51.948846493),,,1.0,2019-02-01 06:00:00,0,0,1,1,51.948846493,7.607919859,0
658431,99662.0,5,5,15,0,2019,2,10,1,3,3,2,0.0,,1,1,0,0,0.0,0,405164.440306,5756901.12727,7.619935386,51.954715766,POINT (7.619935386 51.954715766),,,0.0,2019-02-01 10:00:00,0,0,1,1,51.954715766,7.619935386,0
658561,99792.0,5,5,15,0,2019,2,16,5,3,5,3,0.0,,1,1,0,0,0.0,0,405739.563047,5753729.38131,7.629171472,51.926304395,POINT (7.629171472 51.926304395),,,0.0,2019-02-01 16:00:00,0,0,1,1,51.926304395,7.629171472,0
